KEGG ID,ms1,formula1,ms2,formula2,trans,pmd
R00185,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00185,267.0968,C10H13N5O4,347.0631,C10H14N5O7P,H1O3P1,79.9663
R00187,756.0819,C20H27N10O16P3,427.0294,C10H15N5O10P2,C-10H-12N-5O-6P-1,-329.0525
R00188,427.0294,C10H15N5O10P2,347.0631,C10H14N5O7P,H-1O-3P-1,-79.9663
R00189,506.9957,C10H16N5O13P3,664.1169,C21H28N7O14P2,C11H12N2O1P-1,157.1212
R00189,665.101,C21H27N6O15P2,664.1169,C21H28N7O14P2,H1N1O-1,-0.9841
R00190,347.0631,C10H14N5O7P,389.9518,C5H13O14P3,C-5H-1N-5O7P2,42.8887
R00191,329.0525,C10H12N5O6P,347.0631,C10H14N5O7P,H2O1,18.0106
R00192,384.1216,C14H20N6O5S,267.0968,C10H13N5O4,C-4H-7N-1O-1S-1,-117.0248
R00193,384.1216,C14H20N6O5S,385.1056,C14H19N5O6S,H-1N-1O1,0.984
R00194,384.1216,C14H20N6O5S,267.0777,C9H17NO6S,C-5H-3N-5O1,-117.0439
R00199,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R00200,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00206,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R00209,664.1169,C21H28N7O14P2,809.1258,C23H38N7O17P3S,C2H10O3P1S1,145.0089
R00209,767.1152,C21H36N7O16P3S,809.1258,C23H38N7O17P3S,C2H2O1,42.0106
R00210,744.0833,C21H29N7O17P3,809.1258,C23H38N7O17P3S,C2H9S1,65.0425
R00210,767.1152,C21H36N7O16P3S,745.0911,C21H30N7O17P3,H-6O1S-1,-22.0241
R00211,767.1152,C21H36N7O16P3S,809.1258,C23H38N7O17P3S,C2H2O1,42.0106
R00212,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R00214,134.0215,C4H6O5,665.1248,C21H29N7O14P2,C17H23N7O9P2,531.1033
R00215,134.0215,C4H6O5,665.1248,C21H29N7O14P2,C17H23N7O9P2,531.1033
R00216,134.0215,C4H6O5,745.0911,C21H30N7O17P3,C17H24N7O12P3,611.0696
R00227,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R00228,664.1169,C21H28N7O14P2,809.1258,C23H38N7O17P3S,C2H10O3P1S1,145.0089
R00228,767.1152,C21H36N7O16P3S,809.1258,C23H38N7O17P3S,C2H2O1,42.0106
R00229,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00229,767.1152,C21H36N7O16P3S,809.1258,C23H38N7O17P3S,C2H2O1,42.0106
R00230,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R00233,853.1156,C24H38N7O19P3S,809.1258,C23H38N7O17P3S,C-1O-2,-43.9898
R00235,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R00235,767.1152,C21H36N7O16P3S,809.1258,C23H38N7O17P3S,C2H2O1,42.0106
R00236,767.1152,C21H36N7O16P3S,809.1258,C23H38N7O17P3S,C2H2O1,42.0106
R00236,389.0736,C12H16N5O8P,347.0631,C10H14N5O7P,C-2H-2O-1,-42.0105
R00237,897.1418,C26H42N7O20P3S,809.1258,C23H38N7O17P3S,C-3H-4O-3,-88.016
R00238,809.1258,C23H38N7O17P3S,851.1363,C25H40N7O18P3S,C2H2O1,42.0105
R00239,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00239,147.0532,C5H9NO4,227.0195,C5H10NO7P,H1O3P1,79.9663
R00241,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00241,147.0532,C5H9NO4,227.0195,C5H10NO7P,H1O3P1,79.9663
R00243,664.1169,C21H28N7O14P2,146.0215,C5H6O5,C-16H-22N-7O-9P-2,-518.0954
R00243,147.0532,C5H9NO4,146.0215,C5H6O5,H-3N-1O1,-1.0317
R00245,664.1169,C21H28N7O14P2,147.0532,C5H9NO4,C-16H-19N-6O-10P-2,-517.0637
R00245,131.0582,C5H9NO3,147.0532,C5H9NO4,O1,15.995
R00248,744.0833,C21H29N7O17P3,146.0215,C5H6O5,C-16H-23N-7O-12P-3,-598.0618
R00248,147.0532,C5H9NO4,146.0215,C5H6O5,H-3N-1O1,-1.0317
R00250,147.0532,C5H9NO4,146.0215,C5H6O5,H-3N-1O1,-1.0317
R00251,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00251,129.0426,C5H7NO3,147.0532,C5H9NO4,H2O1,18.0106
R00253,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00253,147.0532,C5H9NO4,146.0691,C5H10N2O3,H1N1O-1,-0.9841
R00254,147.0532,C5H9NO4,190.059,C6H10N2O5,C1H1N1O1,43.0058
R00256,146.0691,C5H10N2O3,147.0532,C5H9NO4,H-1N-1O1,0.9841
R00257,506.9957,C10H16N5O13P3,664.1169,C21H28N7O14P2,C11H12N2O1P-1,157.1212
R00257,146.0691,C5H10N2O3,147.0532,C5H9NO4,H-1N-1O1,0.9841
R00257,665.101,C21H27N6O15P2,664.1169,C21H28N7O14P2,H1N1O-1,-0.9841
R00258,146.0215,C5H6O5,147.0532,C5H9NO4,H3N1O-1,1.0317
R00259,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R00259,147.0532,C5H9NO4,189.0637,C7H11NO5,C2H2O1,42.0105
R00260,147.0532,C5H9NO4,147.0532,C5H9NO4,,0
R00261,147.0532,C5H9NO4,103.0633,C4H9NO2,C-1O-2,-43.9899
R00262,147.0532,C5H9NO4,147.0532,C5H9NO4,,0
R00264,744.0833,C21H29N7O17P3,146.0215,C5H6O5,C-16H-23N-7O-12P-3,-598.0618
R00264,130.0266,C5H6O4,146.0215,C5H6O5,O1,15.9949
R00265,744.0833,C21H29N7O17P3,867.1313,C25H40N7O19P3S,C4H11O2S1,123.048
R00265,767.1152,C21H36N7O16P3S,745.0911,C21H30N7O17P3,H-6O1S-1,-22.0241
R00265,146.0215,C5H6O5,745.0911,C21H30N7O17P3,C16H24N7O12P3,599.0696
R00267,744.0833,C21H29N7O17P3,146.0215,C5H6O5,C-16H-23N-7O-12P-3,-598.0618
R00267,192.027,C6H8O7,146.0215,C5H6O5,C-1H-2O-2,-46.0055
R00268,190.0114,C6H6O7,146.0215,C5H6O5,C-1O-2,-43.9899
R00269,145.0375,C5H7NO4,146.0215,C5H6O5,H-1N-1O1,0.984
R00270,146.0215,C5H6O5,145.0375,C5H7NO4,H1N1O-1,-0.984
R00271,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R00271,146.0215,C5H6O5,206.0427,C7H10O7,C2H4O2,60.0212
R00272,146.0215,C5H6O5,102.0317,C4H6O3,C-1O-2,-43.9898
R00274,307.0838,C10H17N3O6S,612.152,C20H32N6O12S2,C10H15N3O6S1,305.0682
R00277,248.0562,C8H13N2O5P,247.0246,C8H10NO6P,H-3N-1O1,-1.0316
R00278,249.0402,C8H12NO6P,247.0246,C8H10NO6P,H-2,-2.0156
R00279,147.0532,C5H9NO4,146.0215,C5H6O5,H-3N-1O1,-1.0317
R00283,427.0294,C10H15N5O10P2,506.9957,C10H16N5O13P3,H1O3P1,79.9663
R00286,664.1169,C21H28N7O14P2,580.0343,C15H22N2O18P2,C-6H-6N-5O4,-84.0826
R00286,566.055,C15H24N2O17P2,580.0343,C15H22N2O18P2,H-2O1,13.9793
R00287,566.055,C15H24N2O17P2,324.0359,C9H13N2O9P,C-6H-11O-8P-1,-242.0191
R00289,483.9685,C9H15N2O15P3,566.055,C15H24N2O17P2,C6H9O2P-1,82.0865
R00289,260.0297,C6H13O9P,566.055,C15H24N2O17P2,C9H11N2O8P1,306.0253
R00291,566.055,C15H24N2O17P2,566.055,C15H24N2O17P2,,0
R00292,566.055,C15H24N2O17P2,404.0022,C9H14N2O12P2,C-6H-10O-5,-162.0528
R00293,566.055,C15H24N2O17P2,548.0445,C15H22N2O16P2,H-2O-1,-18.0105
R00298,148.0372,C5H8O5,146.0215,C5H6O5,H-2,-2.0157
R00299,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00299,180.0634,C6H12O6,260.0297,C6H13O9P,H1O3P1,79.9663
R00300,664.1169,C21H28N7O14P2,178.0477,C6H10O6,C-15H-18N-7O-8P-2,-486.0692
R00300,180.0634,C6H12O6,178.0477,C6H10O6,H-2,-2.0157
